| Label | nr. | Gew. | Key | A  | B  | C   | D  | O/D | Mis | Max | Gem | P   | Sd  | RSK | Rit | Rir | AR |
|-------+-----+------+-----+----+----+-----+----+-----+-----+-----+-----+-----+-----+-----+-----+-----+----|
| 1#    | 1   | 1    |     |    |    |     |    | 2   | 171 | 3   | 1.80| 60  | 0.93| 0.31| 37  | 30  | 81 |
| 2     | 2   | 1    | C   | 4  | 5  | 69* | 22 | 0   | 15  | 1   | 0.69| 69  | 0.46| 0.46| 25  | 21  | 81 |
| 3     | 3   | 1    |     |    |    |     |    | 1   | 91  | 3   | 2.01| 67  | 0.94| 0.31| 47  | 40  | 80 |
| 4     | 4   | 1    |     |    |    |     |    | 0   | 22  | 2   | 1.37| 68  | 0.65| 0.33| 17  | 11  | 81 |
| 5     | 5   | 1    |     |    |    |     |    | 1   | 125 | 2   | 1.48| 74  | 0.73| 0.37| 38  | 33  | 81 |
| 6#    | 6   | 1    |     |    |    |     |    | 1   | 62  | 1   | 0.54| 54  | 0.50| 0.50| 19  | 15  | 81 |
| 7     | 7   | 1    |     |    |    |     |    | 4   | 488 | 4   | 1.55| 39  | 1.61| 0.40| 52  | 41  | 80 |
| 8     | 8   | 1    |     |    |    |     |    | 8   | 893 | 4   | 1.26| 31  | 1.35| 0.34| 56  | 47  | 80 |
| 9     | 9   | 1    |     |    |    |     |    | 2   | 197 | 3   | 2.46| 82  | 0.97| 0.32| 40  | 33  | 81 |
| 10    | 10  | 1    |     |    |    |     |    | 8   | 933 | 4   | 0.92| 23  | 1.18| 0.30| 46  | 38  | 80 |
| 11    | 11  | 1    |     |    |    |     |    | 11  |1258 | 3   | 0.67| 22  | 1.04| 0.35| 50  | 43  | 80 |
| 12    | 12  | 1    |     |    |    |     |    | 28  |3191 | 3   | 0.76| 25  | 1.14| 0.38| 37  | 28  | 81 |
| 13#   | 13  | 1    | C   | 11 | 38 | 40* | 10 | 1   | 57  | 1   | 0.40| 40  | 0.49| 0.49| 12  | 8   | 81 |
| 14    | 14  | 1    |     |    |    |     |    | 2   | 278 | 2   | 1.15| 57  | 0.86| 0.43| 35  | 29  | 81 |
| 15    | 15  | 1    |     |    |    |     |    | 5   | 533 | 3   | 1.66| 55  | 1.32| 0.44| 45  | 35  | 81 |
| 16    | 16  | 1    |     |    |    |     |    | 24  |2738 | 4   | 1.05| 26  | 1.45| 0.36| 52  | 42  | 80 |
| 17#   | 17  | 1    |     |    |    |     |    | 5   | 618 | 4   | 1.58| 39  | 1.09| 0.27| 52  | 44  | 80 |
| 18    | 18  | 1    |     |    |    |     |    | 0   | 50  | 2   | 1.34| 67  | 0.55| 0.28| 19  | 14  | 81 |
| 19    | 19  | 1    |     |    |    |     |    | 3   | 296 | 4   | 1.91| 48  | 1.22| 0.30| 49  | 41  | 80 |
| 20    | 20  | 1    |     |    |    |     |    | 6   | 707 | 5   | 1.21| 24  | 1.45| 0.29| 49  | 39  | 80 |
| 21    | 21  | 1    |     |    |    |     |    | 1   | 149 | 3   | 0.93| 31  | 0.83| 0.28| 32  | 25  | 81 |
| 22#   | 22  | 1    |     |    |    |     |    | 8   | 852 | 4   | 2.09| 52  | 1.38| 0.35| 60  | 52  | 80 |
| 23    | 23  | 1    |     |    |    |     |    | 7   | 762 | 3   | 1.81| 60  | 1.15| 0.38| 51  | 44  | 80 |
| 24    | 24  | 1    | D   | 6  | 2  | 17  | 73*| 2   | 248 | 1   | 0.73| 73  | 0.44| 0.44| 27  | 23  | 81 |
| 25    | 25  | 1    |     |    |    |     |    | 11  |1272 | 4   | 1.86| 46  | 1.54| 0.39| 50  | 39  | 80 |
| 26    | 26  | 1    |     |    |    |     |    | 9   |1012 | 2   | 1.45| 72  | 0.73| 0.36| 31  | 25  | 81 |
| 27    | 27  | 1    |     |    |    |     |    | 11  |1193 | 2   | 1.38| 69  | 0.81| 0.41| 43  | 38  | 81 |
