#+TITLE: CENTRAAL EXAMEN: HAVO 2016-2024
#+STARTUP: hidestars
#+OPTIONS: ^:nil
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
#+HTML_HEAD: <style>
#+HTML_HEAD: body {
#+HTML_HEAD:   max-width: 1200px; /* Change to your desired width */
#+HTML_HEAD:   margin: 0 auto;    /* Center the content */
#+HTML_HEAD: }
#+HTML_HEAD: </style>


* NAH161VB.TXT

| **Vraagnummer** | **Betrokken Voorwerpen/Concepten**                                                                                     | **Wat moet je doen of berekenen?**                                                                                               | **Benodigde Kennis/Vaardigheden**                                                     |
|------------------|-----------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| **1**            | Vervalreactie van radium-226                                                                                        | Verklaar of de straling van radium-226 door de huid kan gaan.                                                                  | Begrip van alfa-, bËta-, en gammastraling.                                            |
| **2**            | Activiteit en massa van radium-226                                                                                  | Bereken de hoeveelheid radium-226 in microgram op basis van de activiteit.                                                    | Formule voor activiteit en halveringstijd.                                            |
| **3**            | Radon-222 vervalreeks                                                                                               | Vul de ontbrekende vervalreacties in de vervalreeks aan.                                                                      | Kennis van nucleaire vervalreacties.                                                  |
| **4**            | Straling en lichaamsdosis                                                                                           | Bereken hoe vaak iemand jaarlijks een radiumbad kan nemen zonder de dosislimieten te overschrijden.                           | Gebruik van lichaamsdosisformule en stralingsweging.                                  |
| **5**            | Halveringstijd van radium                                                                                           | Leg uit of de activiteit van een radiumkompres uit 1951 in 2006 veel is afgenomen.                                             | Relatie tussen halveringstijd en activiteit.                                          |
| **6**            | Fontein van GenËve, elektrische pompen                                                                              | Bereken de stroomsterkte door de kabels naar de fontein.                                                                      | Gebruik van \( P = U \cdot I \).                                                      |
| **7**            | Rendement van elektrische pompen                                                                                    | Bereken het rendement van de pompen op basis van de kinetische energie van het water.                                          | Relatie tussen vermogen, energie en efficiÎntie.                                      |
| **8**            | Maximale hoogte van waterdruppels                                                                                   | Controleer of het water de maximale hoogte van 140 m kan bereiken.                                                            | Berekening met potentiÎle energie: \( E_p = m \cdot g \cdot h \).                     |
| **9**            | Waterdruppel snelheid bij contact                                                                                   | Bepaal de snelheid van de waterdruppel bij terugkomst op het wateroppervlak.                                                  | Analyse van \( h,t \)-diagram en snelheid-berekening.                                 |
| **10**           | Resulterende kracht op waterdruppel                                                                                 | Identificeer de posities A, B, en C van de resulterende kracht op de druppels.                                                | Begrip van krachten tijdens beweging en zwaartekracht.                                |
| **11**           | Trilling in chauffeursstoel                                                                                         | Bepaal of een trilling in een (v,t)-diagram binnen een schadelijk frequentiebereik valt.                                       | Frequentieanalyse en tijdsintervallen meten.                                          |
| **12**           | Arbeidstijd bij trillingen                                                                                          | Bereken hoe lang een chauffeur mag werken bij een bepaalde maximale versnelling.                                              | Interpretatie van grafieken en veiligheidsnormen.                                     |
| **13**           | Veersysteem in chauffeursstoel                                                                                     | Beoordeel of het veersysteem trillingen vanaf 2,0 Hz vermindert.                                                              | Relatie tussen frequentie en amplitude.                                               |
| **14**           | Massa van chauffeursstoel                                                                                          | Bereken de massa van de stoel op basis van de veerconstante en eigenfrequentie.                                               | Trillingsfrequentieformule: \( f = \frac{1}{2\pi} \sqrt{\frac{C}{m}} \).               |
| **15**           | Geschikte veer voor chauffeursstoel                                                                                 | Kies de meest geschikte veer voor een chauffeur op basis van een \( F,u \)-diagram.                                            | Interpretatie van veerkarakteristieken.                                               |
| **16**           | Actieradius van elektrische auto                                                                                    | Bereken de actieradius van de Twizy bij gemiddeld energieverbruik.                                                            | Formule: \( \text{Actieradius} = \frac{\text{Opslagcapaciteit}}{\text{Verbruik per km}} \). |
| **17**           | Vergelijking energieverbruik Twizy en benzineauto                                                                   | Bereken of de Twizy zuiniger rijdt dan een benzineauto.                                                                       | Omrekening van benzineverbruik naar energieverbruik.                                  |
| **18**           | Energieverbruik van Twizy bij topsnelheid                                                                           | Bereken het energieverbruik per kilometer bij topsnelheid.                                                                    | Gebruik van rendement en vermogen: \( P = F \cdot v \).                               |
| **19**           | Wrijvingskracht van Twizy                                                                                          | Bereken de totale wrijvingskracht bij topsnelheid.                                                                            | Formule voor kracht: \( F = P / v \).                                                 |
| **20**           | Oplaadstroom elektrische auto                                                                                      | Bereken de gemiddelde stroomsterkte tijdens het opladen van de accu.                                                         | Gebruik van \( P = U \cdot I \).                                                      |
| **21**           | Type accu in de Twizy                                                                                              | Bepaal welk type accu in de Twizy wordt gebruikt.                                                                             | Vergelijking van energiedichtheid.                                                    |
| **22**           | Vermogen van elektrisch verwarmingselement                                                                         | Bereken het totale vermogen van het verwarmingselement.                                                                      | Vermogensberekening met weerstand: \( P = U^2 / R \).                                 |
| **23**           | Invloed van draadlengte en doorsnede op vermogen                                                                   | Kies de combinatie van lengte en doorsnede die het hoogste vermogen geeft.                                                   | Begrip van invloed van weerstand op vermogen.                                         |
| **24**           | Diameter van magnesiumdraad                                                                                        | Bereken de diameter van de magnesiumdraad op basis van weerstand en lengte.                                                   | Formule: \( R = \rho \cdot \frac{L}{A} \).                                            |
| **25**           | Warmtetransport in gasgestookte wisselverwarming                                                                   | Geef de warmtetransportmethoden (geleiding, stroming, straling) aan in een tabel.                                             | Begrip van warmtetransportmechanismen.                                                |
| **26**           | Verwarmingstijd van spoorstaaf                                                                                     | Bereken de minimale tijd om een spoorstaaf 10 ∞C te verwarmen.                                                               | Warmteformule: \( Q = m \cdot c \cdot \Delta T \).                                     |
| **27**           | Aardgasverbruik van wisselverwarmingen                                                                             | Bereken hoe lang een gemiddeld huishouden met de gebruikte hoeveelheid aardgas zou kunnen doen.                               | Gebruik van energieverbruik per wissel en jaarlijks huishoudelijk gasverbruik.        |

* NAH162VB.TXT

| **Vraagnummer** | **Betrokken Voorwerpen/Concepten**                                                                 | **Wat moet je doen of berekenen?**                                                                                           | **Benodigde Kennis/Vaardigheden**                                                   |
|------------------|---------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------|
| **1**            | Sluis, (v,t)-diagram                                                                             | Bereken de tijd voor het passeren van de sluis op de heenreis.                                                              | Analyse van snelheid-tijd-diagrammen.                                               |
| **2**            | Sluis, afstand                                                                                   | Bereken de afstand tussen Beilstein en Cochem.                                                                              | Gebruik van \( s = v \cdot t \).                                                    |
| **3**            | Sluis, stroomsnelheid                                                                            | Bereken de stroomsnelheid van de rivier.                                                                                    | Relatie tussen relatieve snelheid, absolute snelheid en stroomsnelheid.             |
| **4**            | Sluis, waterhoogte, stijgsnelheid                                                                | Bepaal de maximale stijgsnelheid van het water in de sluis.                                                                 | Analyse van hoogte-tijd-diagrammen.                                                 |
| **5**            | Sluis, krachtmoment, hydraulische cilinder                                                       | Kies het juiste moment-hoek-diagram voor de sluisdeuren.                                                                    | Begrip van krachtmoment: \( M = F \cdot r \cdot \sin(\theta) \).                    |
| **6**            | Waterkrachtcentrale, rendement                                                                   | Bereken het rendement van de energieomzetting bij de waterkrachtcentrale.                                                   | Formule: \( \eta = P_{\text{uit}} / P_{\text{in}} \).                                |
| **7**            | Waterkrachtcentrale, elektriciteitsgebruik                                                       | Bereken hoeveel huishoudens van stroom kunnen worden voorzien.                                                              | Gebruik van \( P = E / t \) en jaarlijkse energieverbruik.                          |
| **8**            | Veer, kracht                                                                                     | Bereken de uitrekking van de veer door de massa van de wieg.                                                                | Veerwet: \( F = C \cdot u \).                                                       |
| **9**            | Spanning in touwen                                                                               | Bepaal met een constructie de spankracht in een touw.                                                                       | Vectorconstructies voor krachten.                                                   |
| **10**           | Veer en baby, frequentie                                                                         | Bereken de frequentie van de trilling van de wieg met de baby erin.                                                         | Trillingsformule: \( f = \frac{1}{2\pi} \sqrt{\frac{C}{m}} \).                       |
| **11**           | Cardiogram en hartslag                                                                           | Leg uit hoe de hartslag van een baby uit een cardiogram kan worden bepaald.                                                 | Interpretatie van golven en tijdsduur.                                              |
| **12**           | Wieg, trilling                                                                                   | Noem twee manieren om de trillingsfrequentie van de wieg te verlagen.                                                       | Begrip van massa, veerconstante en trillingsfrequentie.                              |
| **13**           | Bliksem, licht en geluid                                                                         | Verklaar waarom de lichtflits eerder zichtbaar is dan de donder en toon de vuistregel aan.                                   | Geluidssnelheid, lichtsnelheid en tijdsberekening.                                  |
| **14**           | Blikseminslag, energie                                                                           | Controleer of de energie van een blikseminslag minder is dan de warmte van 1 m≥ aardgas.                                    | Vermogen en energie: \( E = P \cdot t \).                                           |
| **15**           | Bliksemafleider, warmteontwikkeling                                                              | Vergelijk warmteontwikkeling in aluminium- en koperdraad.                                                                   | Gebruik van \( P = I^2 \cdot R \).                                                  |
| **16**           | Radioactieve bliksemafleiders                                                                    | Vul een tabel in en bepaal welke radioactieve bron het beste geschikt is voor een bliksemafleider.                          | Eigenschappen van ioniserende straling.                                             |
| **17**           | Americium-241, vervalreactie                                                                     | Geef de vervalreactie van americium-241.                                                                                    | Nucleaire vervalreacties.                                                           |
| **18**           | Stralingsnormen                                                                                  | Bereken hoeveel radioactieve bliksemafleiders per jaar een monteur mag verwijderen.                                          | Gebruik van jaarlijkse dosislimieten.                                               |
| **19**           | Aerogel, dichtheid                                                                               | Bereken de massa van een gipsplaat met dezelfde afmetingen als een aerogelplaat.                                            | Dichtheid: \( \rho = m / V \).                                                      |
| **20**           | Aerogel, warmtegeleiding                                                                         | Bereken de warmtestroom door een aerogelplaat.                                                                              | Warmtestroom: \( Q = k \cdot A \cdot \Delta T / d \).                                |
| **21**           | Warmtetransport in spouwmuur                                                                     | Beantwoord of er warmtetransport in een spouwmuur plaatsvindt, en zo ja, hoe.                                               | Begrip van geleiding, stroming en straling.                                         |
| **22**           | Isolatie, aerogel en polystyreen                                                                 | Geef aan of uitspraken over isolatie met aerogel en polystyreen waar of niet waar zijn.                                      | Analyse van temperatuurprofielen en isolatiematerialen.                             |
| **23**           | Airbus E-fan, snelheid                                                                           | Reken de snelheid van de Airbus E-fan om van knopen naar km/h.                                                              | Omrekening van eenheid: \( 1 \text{knoop} = 1,852 \text{km/h} \).                    |
| **24**           | Accu en stroomsterkte                                                                            | Bereken de stroomsterkte die elke accu levert.                                                                               | Formule: \( P = U \cdot I \).                                                       |
| **25**           | Energiedichtheid van een accu                                                                    | Bereken de energiedichtheid van een accu in \( J / \text{kg} \).                                                            | Formule: \( \text{Energiedichtheid} = E / m \).                                      |
| **26**           | Schakeling van motoren en accu's                                                                 | Geef aan of de motoren in drie gegeven schakelingen juist of onjuist zijn aangesloten.                                       | Analyse van elektrische schakelingen.                                               |
| **27**           | Benzineverbruik, hybride E-fan                                                                   | Bereken hoeveel liter benzine de hybride E-fan minimaal verbruikt.                                                          | Gebruik van energieomzetting en rendement: \( \eta = E_{\text{uit}} / E_{\text{in}} \). |

* NAH171VB.TXT

| **Vraagnummer** | **Betrokken Voorwerpen/Concepten**                                   | **Wat moet je doen of berekenen?**                                                                                         | **Benodigde Kennis/Vaardigheden**                                                   |
|------------------|---------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------|
| **1**            | Elektrische doorstroomverwarmer                                    | Verklaar waarom het nieuwe type doorstroomverwarmer een hoger rendement heeft.                                             | Kennis van warmteverlies en effici√´ntie.                                            |
| **2**            | Doorstroomverwarmer, debiet en temperatuur                         | Bereken de temperatuurstijging van water bij maximaal vermogen met de vuistregel.                                          | Vermogen, warmtecapaciteit, vuistregel \( P = 70 \cdot \text{debiet} \cdot \Delta T \). |
| **3**            | Doorstroomverwarmer, zekeringen                                    | Bepaal welke zekering geschikt is voor het apparaat en verklaar waarom.                                                   | Gebruik van \( I = P / U \) en stroomsterktes van zekeringen.                       |
| **4**            | Elektrische schakeling met weerstanden                             | Omcirkel het juiste alternatief in uitspraken over de schakeling van weerstanden R1‚ÄìR4.                                    | Begrip van parallel- en serieschakelingen.                                          |
| **5**            | Debiet en temperatuur                                               | Kies de juiste grafiek voor het verband tussen temperatuur en debiet.                                                     | Begrip van warmteoverdracht en debiet.                                              |
| **6**            | Waterkolom als weerstand, soortelijke weerstand                     | Bereken de maximale stroomsterkte door de waterkolom en de weerstand van het water.                                        | Formules voor weerstand: \( R = \rho \cdot \frac{l}{A} \) en \( I = V / R \).        |
| **7**            | Kernreactie van molybdeen-99                                        | Maak de vergelijking van de kernreactie compleet.                                                                         | Begrip van kernreacties en behoud van nucleonen.                                    |
| **8**            | Halveringstijd van molybdeen-99                                     | Bepaal het percentage Mo-99 dat na een week overblijft.                                                                   | Kennis van halveringstijd en exponentieel verval.                                   |
| **9**            | Tc-99m, fotonen en golflengte                                       | Bereken de golflengte van een foton met een energie van 0,141 MeV.                                                         | Gebruik van \( E = h \cdot c / \lambda \).                                          |
| **10**           | Activiteit en halveringstijden van tracers                          | Controleer of Tc-99m voldoet aan een activiteitseis en verklaar het gebruik van tracers met verschillende halveringstijden. | Analyse van exponentieel verval en activiteit.                                      |
| **11**           | Intensiteit en afstand                                              | Verklaar waarom de intensiteit van straling afneemt met toenemende afstand.                                                | Begrip van absorptie en inverse kwadratenwet.                                       |
| **12**           | Plaatsbepaling van een tracer                                       | Beredeneer waar de tracer zich bevindt (punten a, b, c, of d) op basis van intensiteit en afstand.                         | Relatie tussen intensiteit en afstand: \( I \propto 1 / r^2 \).                     |
| **13**           | Road-train, snelheid en afstand                                     | Bepaal hoe lang een reis van Port Augusta naar Port Lincoln duurt met een constante snelheid.                              | Gebruik van \( t = s / v \).                                                        |
| **14**           | Road-train, vermogen                                                | Bereken het extra vermogen dat nodig is op een helling met constante snelheid.                                             | Vermogen en arbeid: \( P = F \cdot v \).                                            |
| **15**           | Road-train, beweringen over trajecten                               | Geef aan of beweringen over de trajecten juist of onjuist zijn.                                                           | Kennis van arbeid, energie en beweging op hellingen.                                |
| **16**           | Road-train, kracht en kinetische energie                            | Bereken de ontbrekende waarden voor kracht en kinetische energie en controleer twee beweringen.                           | Formules voor \( F = m \cdot a \) en \( E_k = \frac{1}{2} m v^2 \).                 |
| **17**           | Remweg en \( v,t \)-diagram                                          | Bepaal het verschil in remweg tussen een vrachtwagen en een road-train.                                                   | Gebruik van grafieken en remwegberekening (\( s = \int v \, dt \)).                 |
| **18**           | Spanning in een fietsspaak                                           | Bereken de spankracht in de spaak.                                                                                        | Formule: \( \sigma = F / A \).                                                      |
| **19**           | Relatieve rek                                                      | Bereken de relatieve rek van de spaak bij een gegeven spanning.                                                           | Gebruik van rekformule: \( \epsilon = \Delta l / l \).                               |
| **20**           | Spanning tijdens fietsen                                             | Bepaal de frequentie waarmee de spanning wisselt uit een grafiek.                                                         | Frequentie: \( f = 1 / T \).                                                        |
| **21**           | Spanningsamplitude en levensduur van de spaak                       | Bepaal of de spaak 1 ¬∑ \( 10^7 \) omwentelingen kan ondergaan bij de gegeven spanningsamplitude.                          | Gebruik van \( A = (\sigma_{\text{max}} - \sigma_{\text{min}}) / 2 \).              |
| **22**           | Levensduur van spaak en wieldiameter                                | Bereken de afstand tot breuk bij een spanningsamplitude van 120 MPa.                                                      | Relatie tussen omwentelingen en afgelegde afstand.                                  |
| **23**           | Naaldjes rond de aarde, afmetingen                                  | Controleer of een naaldje dunner is dan een mensenhaar door diameter en volume te berekenen.                               | Berekening van doorsnede en vergelijking met diameter.                              |
| **24**           | Frequentie van microgolfstraling                                     | Bereken de frequentie van microgolfstraling met een golflengte van \( 2 \cdot l \).                                        | Relatie: \( f = c / \lambda \).                                                     |
| **25**           | Dataoverdracht via naaldjes                                          | Bereken hoeveel tijd nodig is om een digitale foto van 5 MB te verzenden.                                                 | Dataoverdracht: \( t = \text{bits} / \text{snelheid} \).                            |
| **26**           | Omlooptijd van naaldjes                                              | Bereken de omlooptijd van een naaldje met bekende baanstraal en snelheid.                                                 | Formules voor cirkelbanen: \( T = 2\pi r / v \).                                    |
| **27**           | Naaldjes terug op aarde                                              | Bereken hoeveel naaldjes per km¬≤ zijn gevallen op een strook die 20% van het aardoppervlak beslaat.                       | Verdeling over oppervlakte: \( \text{aantal} / \text{oppervlakte} \).              |

* NAH172VB.TXT

| **Vraagnummer** | **Betrokken Voorwerpen/Concepten**                                             | **Wat moet je doen of berekenen?**                                                                                     | **Benodigde kennis/vaardigheden**                                                 |
|------------------|-------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------|
| **1**            | Panfluit, geluidsgolven in een open buis                                      | Omcirkel juiste alternatieven en teken het patroon van knopen (K) en buiken (B).                                      | Begrip van staande golven en grondtoon.                                           |
| **2**            | Panfluit, lengte en diameter van de buis                                      | Bereken de frequentie van de grondtoon met de formule \( l = \lambda / 4 + 0,31d \).                                  | Gebruik van formule en geluidsnelheid in lucht (\( v = f \lambda \)).             |
| **3**            | Panfluit, temperatuur en grondtoon                                            | Bereken de frequentie uit een \( u,t \)-diagram en verklaar afwijkingen door temperatuur.                              | Analyse van grafieken en kennis van temperatuurseffecten op geluidssnelheid.      |
| **4**            | Panfluit, \( u,t \)-diagram                                                   | Bepaal de frequentie van de grondtoon met het diagram.                                                                | Frequentie: \( f = 1/T \), met \( T \) af te lezen uit het diagram.               |
| **5**            | Panfluit, invloed van temperatuur en kurkpositie                             | Leg uit hoe een hogere luchttemperatuur en de positie van de kurk de frequentie be√Ønvloeden.                          | Begrip van fysische invloeden op golfsnelheid en lengte van luchtkolom.           |
| **6**            | Stretchsensor, spanning-rekdiagram                                            | Bepaal of vervorming elastisch, plastisch of afwezig is in elk gebied.                                                | Analyse van spanning-rekdiagrammen.                                               |
| **7**            | Stretchsensor, elasticiteitsmodulus                                           | Bereken de elasticiteitsmodulus van het materiaal uit het diagram.                                                    | Elasticiteitsmodulus: \( E = \sigma / \epsilon \).                                 |
| **8**            | Stretchsensor, kracht bij rek van materiaal                                   | Bereken de kracht die nodig is om het materiaal met een rek van 0,20 te verlengen.                                    | Gebruik van spanning: \( F = \sigma \cdot A \).                                    |
| **9**            | Stretchsensor, spanning-aansluitpunten                                        | Omcirkel het juiste alternatief voor de spanning bij de aansluitpunten ab, bc en ac.                                  | Begrip van spanningsdeling in een elektrische schakeling.                         |
| **10**           | Stretchsensor, vermogen                                                       | Bereken het maximale vermogen dat de spanningsbron levert.                                                            | Vermogen: \( P = V^2 / R \).                                                      |
| **11**           | Stretchsensor, accu en energieverbruik                                        | Bereken hoe lang het pak werkt met een accu van 2,0 Ah en een vermogen van 19 W.                                      | Relatie tussen stroom, spanning, vermogen en tijd (\( Q = I \cdot t \)).          |
| **12**           | Stretchsensor, weerstand versus armhoek                                       | Bepaal de armhoek bij een gegeven spanning over de stretchsensor.                                                     | Aflezen van de ijkgrafiek voor spanning en hoek.                                  |
| **13**           | Powerskips, kracht van de veer op de hefboom                                  | Bepaal met een schaaltekening de kracht die de veer uitoefent op de hefboom.                                          | Gebruik van momentschema‚Äôs en krachtenschaal.                                     |
| **14**           | Powerskips, \( v,t \)-diagram                                                 | Kies het juiste diagram waarin de afstand tussen loskomen en hoogste punt correct is gearceerd.                       | Analyse van integratie in \( v,t \)-diagrammen.                                   |
| **15**           | Powerskips, resulterende kracht                                               | Bepaal de resulterende kracht op \( t = 1,15 \) s met behulp van het \( v,t \)-diagram.                               | Gebruik van \( F = m \cdot a \).                                                  |
| **16**           | Powerskips, eenheden van veerenergie                                          | Toon aan dat de eenheden in de veerenergieberekening kloppen.                                                         | Begrip van eenhedenanalyse.                                                       |
| **17**           | Powerskips, maximale veeruitrekking                                           | Bereken de maximale veeruitrekking tijdens een sprong met behoud van energie.                                         | Gebruik van energiebehoud: \( E_k = E_{\text{veer}} \).                           |
| **18**           | Powerskips, energiebehoefte                                                   | Schat of de benodigde veerenergie \( 1,8 \cdot 10^3 \) J is bij een gegeven sprong.                                   | Berekening van zwaarte-energie en vergelijking met veerenergie.                   |
| **19**           | Rb-87, vrijkomend deeltje                                                     | Kies het juiste deeltje dat vrijkomt bij het verval van Rb-87.                                                        | Begrip van kernvervalreacties.                                                    |
| **20**           | Rb-87, halveringstijd                                                         | Toon aan dat de halveringstijd 4,9 ¬∑ \( 10^{10} \) jaar is met een activiteit van 3,09 Bq.                             | Gebruik van \( A = 0,693 N / t_{1/2} \).                                          |
| **21**           | Rb-87 en Sr-87, leeftijdsbepaling                                             | Bepaal de leeftijd van een maansteen uit de grafiek met de halveringstijd van Rb-87.                                  | Gebruik van steilheid en formule \( t = \text{steilheid} \cdot t_{1/2} \).         |
| **22**           | Rb-87 en Sr-87, verplaatsing van meetpunt P5                                  | Kies de juiste pijl voor de verplaatsing van punt P5 in de grafiek.                                                   | Begrip van isotopenverval en kernverhoudingen.                                     |
| **23**           | Aarde, baansnelheid                                                          | Bereken de baansnelheid van de aarde rond de zon.                                                                     | Formule: \( v = \sqrt{GM/r} \).                                                   |
| **24**           | Meteoriet, snelheidsvectoren                                                 | Leg uit waarom de meteoriet vanuit de zon leek te komen door vectorontbinding.                                        | Vectorontbinding en begrip van relatieve beweging.                                 |
| **25**           | Meteoriet, faseovergang                                                      | Geef aan welke faseovergang optreedt bij het opwarmen van de meteoriet.                                               | Begrip van faseovergangen zoals sublimeren.                                        |
| **26**           | Meteoriet, snelheid                                                         | Toon aan dat de snelheid 20 ¬∑ \( 10^3 \) m/s was met behulp van foto‚Äôs van het spoor.                                 | Analyse van afstand en tijd.                                                      |
| **27**           | Meteoriet, explosie-energie                                                  | Bereken de explosie-energie in kiloton TNT.                                                                           | \( E_k = \frac{1}{2} m v^2 \).                                                    |
| **28**           | Meteoriet, dichtheid                                                        | Bepaal of de meteoriet een ijzermeteoriet is door massa en geschat volume te vergelijken.                             | Gebruik van dichtheid: \( \rho = m / V \).                                        |

* NAH181VB.TXT

| **Vraagnummer** | **Betrokken Voorwerpen/Concepten**                                                  | **Wat moet je doen of berekenen?**                                                                                     | **Benodigde kennis/vaardigheden**                                                 |
|------------------|--------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------|
| **1**            | Pulsradar, snelheid van licht                                                      | Bereken de afstand tot een voorwerp bij een tijdsverschil van 0,26 ms.                                                | \( s = v \cdot t \), met \( v = c \).                                             |
| **2**            | Elektromagnetische golven, pulsduur                                                | Bereken het aantal golven in een puls.                                                                                | Relatie \( \text{golven} = f \cdot \text{tijd} \).                                |
| **3**            | Pulsradar, minimale resolutie                                                      | Bereken de minimale grootte van een object dat waarneembaar is.                                                       | Resolutie = 10% van golflengte (\( \lambda = c/f \)).                              |
| **4**            | Radarvergelijking, reflecterende oppervlakte                                       | Bereken de reflecterende oppervlakte bij een groter radarbereik.                                                      | Radarvergelijking: \( r^4 \propto P \cdot A \).                                   |
| **5**            | Pulsradar, herhalingsfrequentie                                                    | Omcirkel juiste alternatieven m.b.t. herhalingsfrequentie en bereik.                                                  | Begrip van pulsradarwerking.                                                     |
| **6**            | Breedbandradar, modulatie                                                          | Geef aan of de radar gebruikmaakt van frequentie- of amplitudemodulatie.                                              | Begrip van modulatie.                                                             |
| **7**            | Radarafstand, tijdsverschil (\( \Delta t \)), periode \( T \)                      | Bepaal de afstand tot een doel met \( \Delta t/T \).                                                                  | Afstand bepalen met verhouding in radarfiguur.                                    |
| **8**            | Textieldraad, dichtheid                                                            | Bereken de dichtheid van de draad in het weefsel.                                                                     | Dichtheid: \( \rho = \frac{m}{V} \).                                              |
| **9**            | CuNi-legering, soortelijke weerstand                                               | Bepaal het massapercentage nikkel van de draad met een grafiek.                                                       | Soortelijke weerstand en grafiek lezen.                                           |
| **10**           | Schakeling, weerstand van verwarmingsdeken                                         | Toon aan dat de totale weerstand van de deken 1,4 Œ© is.                                                               | Parallelweerstand: \( \frac{1}{R_{\text{tot}}} = \sum \frac{1}{R} \).             |
| **11**           | Verwarmingsdeken, elektrisch vermogen                                              | Bereken het elektrisch vermogen bij 12 V spanning.                                                                    | \( P = \frac{V^2}{R} \).                                                          |
| **12**           | Verwarmingsdeken, PTC- of NTC-materiaal                                            | Omcirkel juiste alternatieven over materiaalkeuze voor de deken.                                                      | Begrip van temperatuurweerstand (PTC/NTC).                                        |
| **13**           | Ruimteschip, snelheid op hoogste punt                                              | Verklaar waarom de snelheid op \( t_c \) gelijk is aan 0 m/s.                                                         | Begrip van snelheid op het hoogste punt (vrije val).                              |
| **14**           | Ruimteschip, versnelling                                                           | Bepaal de versnelling op punt \( c \) met behulp van de grafiek.                                                      | Versnelling: \( a = \frac{\Delta v}{\Delta t} \).                                  |
| **15**           | Valversnelling op hoogte                                                          | Bereken de valversnelling op 100 km hoogte boven het aardoppervlak.                                                   | Gravitatiekracht: \( g = \frac{GM}{r^2} \).                                       |
| **16**           | Ruimteschip, gewichtloosheid                                                      | Kruis aan op welke trajecten de inzittenden gewichtloos zijn.                                                         | Begrip van normaalkracht en vrije val.                                            |
| **17**           | Ruimteschip, hoogte astronaut                                                     | Toon aan of het ruimteschip de 100 km bereikt en of de inzittenden astronaut mogen zijn.                              | Analyse van hoogte- en snelheidsgrafieken.                                        |
| **18**           | Tc-99m, vervalreactie                                                             | Geef de vergelijking van het verval van Mo-99 naar Tc-99m.                                                            | Begrip van kernverval.                                                            |
| **19**           | Tc-99m als tracer                                                                 | Leg uit of het gebruik van Tc-99m bestraling of besmetting veroorzaakt.                                               | Begrip van bestraling vs. besmetting.                                             |
| **20**           | Tc-99m en Mo-99, verontreiniging                                                  | Bereken de maximale verhouding van Mo-99-kernen per miljoen Tc-99m-kernen.                                            | Verhouding van activiteiten (formule gegeven).                                    |
| **21**           | Mo-99, straling                                                                  | Geef een reden waarom b√®tastraling van Mo-99 niet buiten de pot detecteerbaar is.                                      | Begrip van stralingsabsorptie door materiaal.                                     |
| **22**           | Lood, halveringsdikte voor gammastraling                                           | Noteer halveringsdiktes en intensiteiten van straling buiten de loodpot.                                              | Straling en halveringsdikte.                                                      |
| **23**           | Tc-99m, stralingsproductie                                                        | Omcirkel de juiste alternatieven over verval van Mo-99 en Tc-99m in de gegeven zinnen.                                | Begrip van stralingsactiviteit en verval.                                         |
| **24**           | Auto, krachtconstructie                                                          | Construeer krachtvectoren en bepaal \( F \) bij een constante snelheid.                                               | Vectorconstructie, krachten ontbinden.                                           |
| **25**           | Auto, kracht op dwarsbalk                                                        | Bereken de kracht die een man moet uitoefenen op de balk om een spankracht van \( 6,1 \cdot 10^3 \) N te genereren.    | Momentenwet: \( F \cdot d \).                                                     |
| **26**           | Kabel, elasticiteitsmodulus                                                      | Bereken de lengteverandering van de kabel bij een spankracht.                                                        | Elasticiteit: \( \Delta L = \frac{F \cdot L_0}{A \cdot E} \).                      |
| **27**           | Mannen aan dwarsbalk, snelheid                                                   | Geef aan welke man de grootste snelheid heeft.                                                                        | Begrip van rotatiebewegingen.                                                     |
